epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4685.28,0.61799,0.98697,0.5485,0.97101,0.72424,0.82327,0.80425,0.69787,0.73409,0.83774,0.82159,0.68119,0.57605,0.93117,0.48978,0.93397,0.000425006,0.000425006,0.000425006
30,4845.58,0.60882,0.97721,0.54212,0.96694,0.8015,0.83111,0.83737,0.72054,0.81125,0.83933,0.8556,0.70692,0.56858,0.91631,0.45691,0.92542,0.000419185,0.000419185,0.000419185
31,5006.52,0.60569,0.98096,0.53465,0.96586,0.74257,0.84198,0.81973,0.70587,0.75534,0.84884,0.83636,0.689,0.57961,0.93556,0.4883,0.93442,0.000413364,0.000413364,0.000413364
32,5170.77,0.59766,0.9592,0.52252,0.96038,0.74733,0.81652,0.80314,0.69717,0.76759,0.81111,0.81916,0.68726,0.57672,0.90362,0.4648,0.92972,0.000407543,0.000407543,0.000407543
33,5335.01,0.59786,0.94589,0.51947,0.95563,0.74325,0.85276,0.81689,0.7105,0.75996,0.86768,0.83892,0.69684,0.56873,0.8901,0.45446,0.92255,0.000401722,0.000401722,0.000401722
34,5499.11,0.59532,0.95593,0.52016,0.95542,0.72831,0.81595,0.799,0.69418,0.73763,0.81898,0.81388,0.6785,0.58269,0.92797,0.49095,0.93575,0.0003959,0.0003959,0.0003959
35,5663.16,0.58891,0.94279,0.50669,0.95457,0.77641,0.82709,0.83108,0.72103,0.79421,0.84445,0.85274,0.70629,0.56508,0.91858,0.45029,0.92366,0.000390079,0.000390079,0.000390079
36,5827.16,0.58783,0.92996,0.50388,0.95768,0.7299,0.83893,0.8115,0.70901,0.73616,0.84446,0.82436,0.692,0.57043,0.91113,0.47705,0.92895,0.000384258,0.000384258,0.000384258
37,5991.16,0.57952,0.92043,0.49819,0.95276,0.71986,0.84192,0.79759,0.70121,0.73953,0.83108,0.81107,0.67995,0.56106,0.91316,0.49016,0.92529,0.000378437,0.000378437,0.000378437
38,6153.17,0.57582,0.92184,0.49468,0.94872,0.70075,0.87474,0.79379,0.70003,0.7046,0.88293,0.80104,0.68231,0.55214,0.88269,0.47281,0.91465,0.000372616,0.000372616,0.000372616
39,6313.79,0.56984,0.90145,0.48953,0.94538,0.74996,0.80523,0.80264,0.70472,0.75131,0.83,0.81842,0.68869,0.55554,0.89008,0.46907,0.92144,0.000366794,0.000366794,0.000366794
40,6474.2,0.56501,0.89991,0.4778,0.94394,0.73004,0.84943,0.81333,0.70879,0.75223,0.86002,0.83532,0.69544,0.55174,0.87609,0.44579,0.92001,0.000360973,0.000360973,0.000360973
41,6634.5,0.55338,0.87826,0.47121,0.93834,0.70529,0.85864,0.79319,0.69899,0.71838,0.86397,0.80795,0.68704,0.55179,0.9221,0.47087,0.91389,0.000355152,0.000355152,0.000355152
42,6794.9,0.55216,0.87242,0.46169,0.93796,0.70757,0.79597,0.77811,0.68766,0.71812,0.81006,0.79378,0.66825,0.54855,0.91156,0.49516,0.91879,0.000349331,0.000349331,0.000349331
43,6955.14,0.55435,0.87624,0.46538,0.93965,0.75098,0.82782,0.80865,0.71077,0.76592,0.8389,0.82654,0.69498,0.54054,0.89203,0.45875,0.91783,0.00034351,0.00034351,0.00034351
44,7115.2,0.54594,0.86253,0.45936,0.93352,0.75302,0.82499,0.81828,0.71995,0.76314,0.83694,0.83441,0.70281,0.54657,0.88959,0.46204,0.91287,0.000337688,0.000337688,0.000337688
45,7275.36,0.54448,0.86383,0.44703,0.9348,0.74056,0.84846,0.80675,0.71077,0.74926,0.86053,0.82362,0.69659,0.54444,0.87094,0.45584,0.91392,0.000331867,0.000331867,0.000331867
